anio,semana,mes,country_code,banda,conteo_universal
2019,9,FEBRERO,CO,100,36
2019,9,FEBRERO,CO,200,68
2019,9,FEBRERO,PE,10,4
2019,9,FEBRERO,PE,30,11
2019,9,FEBRERO,PE,50,16
2019,9,FEBRERO,PE,100,30
2019,9,FEBRERO,PE,200,63
2019,9,FEBRERO,EC,10,3
2019,9,FEBRERO,EC,30,11
2019,9,FEBRERO,EC,50,14
2019,9,FEBRERO,EC,100,36
2019,9,FEBRERO,EC,200,65
2019,9,FEBRERO,PN,10,4
2019,9,FEBRERO,PN,30,9
2019,9,FEBRERO,PN,50,15
2019,9,FEBRERO,PN,100,31
2019,9,FEBRERO,PN,200,54
2019,9,FEBRERO,CR,10,3
2019,9,FEBRERO,CR,30,12
2019,9,FEBRERO,CR,50,22
2019,9,FEBRERO,CR,100,40
2019,9,FEBRERO,CR,200,77
2019,9,FEBRERO,GT,10,2
2019,9,FEBRERO,GT,30,9
2019,9,FEBRERO,GT,50,19
2019,9,FEBRERO,GT,100,35
2019,9,FEBRERO,GT,200,68
2019,9,FEBRERO,SV,10,2
2019,9,FEBRERO,SV,30,14
2019,9,FEBRERO,SV,50,22
2019,9,FEBRERO,SV,100,40
2019,9,FEBRERO,SV,200,73
2019,9,FEBRERO,HN,10,2
2019,9,FEBRERO,HN,30,12
2019,9,FEBRERO,HN,50,20
2019,9,FEBRERO,HN,100,37
2019,9,FEBRERO,HN,200,65
2019,9,FEBRERO,NI,10,3
2019,9,FEBRERO,NI,30,12
2019,9,FEBRERO,NI,50,21
2019,9,FEBRERO,NI,100,34
2019,9,FEBRERO,NI,200,69
2019,9,FEBRERO,DO,10,2
2019,9,FEBRERO,DO,30,7
2019,9,FEBRERO,DO,50,9
2019,9,FEBRERO,DO,100,24
2019,9,FEBRERO,DO,200,42
2019,9,FEBRERO,MX,10,4
2019,9,FEBRERO,MX,30,15
2019,9,FEBRERO,MX,50,23
2019,9,FEBRERO,MX,100,39
2019,9,FEBRERO,MX,200,66
2019,9,FEBRERO,SP,10,3
2019,9,FEBRERO,SP,30,11
2019,9,FEBRERO,SP,50,18
2019,9,FEBRERO,SP,100,42
2019,9,FEBRERO,SP,200,75
2019,9,FEBRERO,CL,10,3
2019,9,FEBRERO,CL,30,10
2019,9,FEBRERO,CL,50,14
2019,9,FEBRERO,CL,100,31
2019,9,FEBRERO,CL,200,58
2019,9,FEBRERO,AR,10,5
2019,9,FEBRERO,AR,30,12
2019,9,FEBRERO,AR,50,17
2019,9,FEBRERO,AR,100,31
2019,9,FEBRERO,AR,200,60
2019,9,FEBRERO,BR,10,4
2019,9,FEBRERO,BR,30,8
2019,9,FEBRERO,BR,50,14
2019,9,FEBRERO,BR,100,25
2019,9,FEBRERO,BR,200,49
2019,9,FEBRERO,PT,10,5
2019,9,FEBRERO,PT,30,11
2019,9,FEBRERO,PT,50,16
2019,9,FEBRERO,PT,100,36
2019,9,FEBRERO,PT,200,76
2019,10,MARZO,CO,10,3
2019,10,MARZO,CO,30,11
2019,10,MARZO,CO,50,19
2019,10,MARZO,CO,100,37
2019,10,MARZO,CO,200,70
2019,10,MARZO,PE,10,4
2019,10,MARZO,PE,30,11
2019,10,MARZO,PE,50,17
2019,10,MARZO,PE,100,31
2019,10,MARZO,PE,200,64
2019,10,MARZO,EC,10,3
2019,10,MARZO,EC,30,13
2019,10,MARZO,EC,50,16
2019,10,MARZO,EC,100,37
2019,10,MARZO,EC,200,64
2019,10,MARZO,PN,10,3
2019,10,MARZO,PN,30,8
2019,10,MARZO,PN,50,15
2019,10,MARZO,PN,100,30
2019,10,MARZO,PN,200,52
2019,10,MARZO,CR,10,4
2019,10,MARZO,CR,30,13
2019,10,MARZO,CR,50,23
2019,10,MARZO,CR,100,39
2019,10,MARZO,CR,200,74
2019,10,MARZO,GT,10,2
2019,10,MARZO,GT,30,9
2019,10,MARZO,GT,50,19
2019,10,MARZO,GT,100,35
2019,10,MARZO,GT,200,67
2019,10,MARZO,SV,10,3
2019,10,MARZO,SV,30,13
2019,10,MARZO,SV,50,20
2019,10,MARZO,SV,100,39
2019,10,MARZO,SV,200,67
2019,10,MARZO,HN,10,2
2019,10,MARZO,HN,30,12
2019,10,MARZO,HN,50,21
2019,10,MARZO,HN,100,37
2019,10,MARZO,HN,200,62
2019,10,MARZO,NI,10,3
2019,10,MARZO,NI,30,13
2019,10,MARZO,NI,50,21
2019,10,MARZO,NI,100,36
2019,10,MARZO,NI,200,69
2019,10,MARZO,DO,10,2
2019,10,MARZO,DO,30,7
2019,10,MARZO,DO,50,11
2019,10,MARZO,DO,100,26
2019,10,MARZO,DO,200,42
2019,10,MARZO,MX,10,4
2019,10,MARZO,MX,30,15
2019,10,MARZO,MX,50,22
2019,10,MARZO,MX,100,40
2019,10,MARZO,MX,200,65
2019,10,MARZO,SP,10,3
2019,10,MARZO,SP,30,10
